tweet_id,tweet_text,clean_text,label,priority_level,priority_score,true_label,predicted_label,prediction_confidence,true_label_confidence,label_correct,true_priority_level,true_priority_score,predicted_priority_level,predicted_priority_score,priority_correct,priority_signed_error,priority_distance,under_prioritised,over_prioritised,severe_priority_error
593501343035207682,Another smart way to use the Internet to find missing people. http://t.co/EQEm5vlEZX,Another smart way to use the Internet to find missing people. URL,not_related_or_irrelevant,low,4,not_related_or_irrelevant,missing_trapped_or_found_people,0.9195256,0.0054550692,False,low,4,high,1,False,-3,3,False,True,True
592327306909069312,Very sad RIP those souls missing in Nepal  https://t.co/IHqFzwimXr,Very sad RIP those souls missing in Nepal URL,sympathy_and_emotional_support,low,4,sympathy_and_emotional_support,missing_trapped_or_found_people,0.9094793,0.0110863,False,low,4,high,1,False,-3,3,False,True,True
592689834898137090,RT @ani23021977: #NepalQuake my family is stucked In tato paani in Nepal name is Aditya bhargava and sanjay bhargava mobi no +9779801122921,RT USER : NepalQuake my family is stucked In tato paani in Nepal name is Aditya bhargava and sanjay bhargava mobi no +9779801122921,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,not_related_or_irrelevant,0.6515535,0.024103831,False,high,1,low,4,False,3,3,True,False,True
592700919109791744,RT @AndrewDesjardin: Please share this photo. If you have any information I will pass it on to their families! #NepalEarthquake http://t.co…,RT USER : Please share this photo. If you have any information I will pass it on to their families! NepalEarthquake URL,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,sympathy_and_emotional_support,0.509353,0.104428925,False,high,1,low,4,False,3,3,True,False,True
593030724678193152,RT @WSJ: Hindus bear loved ones’ bodies to Nepal holy site. “Nobody will love me as much as she did” http://t.co/OxhJubLvkp http://t.co/rUy…,RT USER : Hindus bear loved ones’ bodies to Nepal holy site. “Nobody will love me as much as she did” URL URL,injured_or_dead_people,high,1,injured_or_dead_people,sympathy_and_emotional_support,0.36037025,0.043582134,False,high,1,low,4,False,3,3,True,False,True
592592940729401344,"Landslides, Shortages Hinder Rescues As Nepal Quake Toll Rises: Officials in Nepal say the death toll from the... http://t.co/Um3LqGuITd","Landslides, Shortages Hinder Rescues As Nepal Quake Toll Rises: Officials in Nepal say the death toll from the... URL",other_useful_information,medium,3,other_useful_information,injured_or_dead_people,0.9504201,0.008256731,False,medium,3,high,1,False,-2,2,False,True,True
591972670918496256,Earthquake in Nepal Kills Hundreds and Levels Buildings - New York Times - http://t.co/cqIpqKySR7,Earthquake in Nepal Kills Hundreds and Levels Buildings - New York Times - URL,other_useful_information,medium,3,other_useful_information,injured_or_dead_people,0.9436085,0.009231723,False,medium,3,high,1,False,-2,2,False,True,True
592912454734217216,"RT @tech2eets: #Google, #Facebook join Red Cross to find thousands missing after Nepal quake http://t.co/a28AUcoGe0 http://t.co/2zxUdVLBPm","RT USER : Google, Facebook join Red Cross to find thousands missing after Nepal quake URL URL",donation_needs_or_offers_or_volunteering_services,medium,3,donation_needs_or_offers_or_volunteering_services,missing_trapped_or_found_people,0.9236758,0.0069754627,False,medium,3,high,1,False,-2,2,False,True,True
593045422085525504,"Choppers ferry injured in Nepal; new mudslide hits village: GORKHA, Nepal (AP) — Helicopters cri... http://t.co/cwncd7EXic &lt;--Full Story","Choppers ferry injured in Nepal; new mudslide hits village: GORKHA, Nepal (AP) — Helicopters cri... URL &lt;--Full Story",other_useful_information,medium,3,other_useful_information,injured_or_dead_people,0.8652935,0.038509764,False,medium,3,high,1,False,-2,2,False,True,True
592326564110585856,RT @divyaconnects: Reached #Kathmandu finally! Lots of Indians stranded at the airport #NepalQuake @BBCHindi http://t.co/fRpbU9aCKZ,RT USER : Reached Kathmandu finally! Lots of Indians stranded at the airport NepalQuake USER URL,other_useful_information,medium,3,other_useful_information,missing_trapped_or_found_people,0.7641231,0.0122954,False,medium,3,high,1,False,-2,2,False,True,True
