tweet_id,tweet_text,clean_text,label,priority_level,priority_score,true_label,predicted_label,prediction_confidence,true_label_confidence,label_correct,true_priority_level,true_priority_score,predicted_priority_level,predicted_priority_score,priority_correct,priority_signed_error,priority_distance,under_prioritised,over_prioritised,severe_priority_error
592689834898137090,RT @ani23021977: #NepalQuake my family is stucked In tato paani in Nepal name is Aditya bhargava and sanjay bhargava mobi no +9779801122921,RT USER : NepalQuake my family is stucked In tato paani in Nepal name is Aditya bhargava and sanjay bhargava mobi no +9779801122921,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,not_related_or_irrelevant,0.6515535,0.024103831,False,high,1,low,4,False,3,3,True,False,True
592700919109791744,RT @AndrewDesjardin: Please share this photo. If you have any information I will pass it on to their families! #NepalEarthquake http://t.co…,RT USER : Please share this photo. If you have any information I will pass it on to their families! NepalEarthquake URL,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,sympathy_and_emotional_support,0.509353,0.104428925,False,high,1,low,4,False,3,3,True,False,True
593030724678193152,RT @WSJ: Hindus bear loved ones’ bodies to Nepal holy site. “Nobody will love me as much as she did” http://t.co/OxhJubLvkp http://t.co/rUy…,RT USER : Hindus bear loved ones’ bodies to Nepal holy site. “Nobody will love me as much as she did” URL URL,injured_or_dead_people,high,1,injured_or_dead_people,sympathy_and_emotional_support,0.36037025,0.043582134,False,high,1,low,4,False,3,3,True,False,True
592272191745490944,"Jannat Director Kunal Deshmukh 'Safe' in Quake-Hit Nepal: ""Just talked to Kunal &amp; Sonali. They r both sitting on the Kathmandu runway...","Jannat Director Kunal Deshmukh 'Safe' in Quake-Hit Nepal: ""Just talked to Kunal &amp; Sonali. They r both sitting on the Kathmandu runway...",missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,other_useful_information,0.7327087,0.03512593,False,high,1,medium,3,False,2,2,True,False,True
592341761562955777,"RT @Punechi: Cousin was hiking in Nepal when earthquake hit. Throw this an RT, you never know who may see it &amp; could help  https://t.co/EJ2…","RT USER : Cousin was hiking in Nepal when earthquake hit. Throw this an RT, you never know who may see it &amp; could help URL",missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,other_useful_information,0.39739677,0.08932586,False,high,1,medium,3,False,2,2,True,False,True
591930922426994689,@timesofindia  Really pathetic. Still we dont know how much the toll will rise. #NepalEarthquake.,USER Really pathetic. Still we dont know how much the toll will rise. NepalEarthquake.,injured_or_dead_people,high,1,injured_or_dead_people,other_useful_information,0.3165226,0.23719099,False,high,1,medium,3,False,2,2,True,False,True
592700814180937730,"RT @IvanCNN: Ishan (16) &amp; Iman (13) shaved their heads in mourning after funeral of their mother Ishara, a victim of #Nepalquake http://t.c…","RT USER : Ishan (16) &amp; Iman (13) shaved their heads in mourning after funeral of their mother Ishara, a victim of Nepalquake URL",injured_or_dead_people,high,1,injured_or_dead_people,other_useful_information,0.24034482,0.15758584,False,high,1,medium,3,False,2,2,True,False,True
592149334994518016,RT @dipakbhattarai: Hundreds of people getting treatment outside of Teaching hospital #earthquake  #nepal http://t.co/wHv1w2kToe,RT USER : Hundreds of people getting treatment outside of Teaching hospital earthquake nepal URL,injured_or_dead_people,high,1,injured_or_dead_people,displaced_people_and_evacuations,0.62180835,0.08034504,False,high,1,medium_high,2,False,1,1,True,False,False
593159571809705985,RT @AFADTurkey: A search+rescue worker looks for a sign of life in a collapsed apartment building in Kathmandu. #NepalEarthquake http://t.c…,RT USER : A search+rescue worker looks for a sign of life in a collapsed apartment building in Kathmandu. NepalEarthquake URL,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,infrastructure_and_utilities_damage,0.55692446,0.28790513,False,high,1,medium_high,2,False,1,1,True,False,False
592749758839713792,Dhungana family moved from Nepal 7 mnth ago. Family are okay but an orphan who lived with them is not. #cbcwdr http://t.co/izx7kUHCP2,Dhungana family moved from Nepal 7 mnth ago. Family are okay but an orphan who lived with them is not. cbcwdr URL,injured_or_dead_people,high,1,injured_or_dead_people,displaced_people_and_evacuations,0.52213126,0.012643258,False,high,1,medium_high,2,False,1,1,True,False,False
592911366425567232,'Eight million' hit by Nepal quake http://t.co/k4HNt0Yp9s Eight million people were affected by the Nepal earthquake and 1.4m are in need…,'Eight million' hit by Nepal quake URL Eight million people were affected by the Nepal earthquake and 1.4m are in need…,injured_or_dead_people,high,1,injured_or_dead_people,displaced_people_and_evacuations,0.51311606,0.055887267,False,high,1,medium_high,2,False,1,1,True,False,False
592698937804509184,Dozens of Britons untraced in Nepal http://t.co/9S08ZT23O8,Dozens of Britons untraced in Nepal URL,missing_trapped_or_found_people,high,1,missing_trapped_or_found_people,displaced_people_and_evacuations,0.3684385,0.06460709,False,high,1,medium_high,2,False,1,1,True,False,False
